Type,From,To
Hosted-on,Game Session Server,GCP Cloud Run
Hosted-on,Account & Auth Service,Auth0 B2C
Hosted-on,Analytics & Insights,GCP Firestore
Hosted-on,Lobby & Matchmaking Service,Photon Cloud (Exit Games)
Hosted-on,Lobby & Matchmaking Service,Cloudflare Business
Hosted-on,Game Session Server,VPS Texas (NA)
Hosted-on,Game Session Server,VPS Germany (EU)
Hosted-on,Game Session Server,VPS Japan (Asia)
Dependency,GCP Cloud Run,Game Session Server
Dependency,Auth0 B2C,Account & Auth Service
Dependency,GCP Firestore,Analytics & Insights
Dependency,Photon Cloud (Exit Games),Lobby & Matchmaking Service
Dependency,Cloudflare Business,Lobby & Matchmaking Service
Dependency,VPS Texas (NA),Game Session Server
Dependency,VPS Germany (EU),Game Session Server
Dependency,VPS Japan (Asia),Game Session Server
Dependency,Account & Auth Service,Lobby & Matchmaking Service
Dependency,Lobby & Matchmaking Service,Game Session Server
Dependency,Game Session Server,In-Game Chat
Dependency,Game Session Server,Reporting & Moderation
Dependency,Game Session Server,Analytics & Insights
