Type,From,To
Hosted-on,Game World Servers,External Data Center (London Primary)
Hosted-on,Game World Servers,External Data Center (Secondary UK)
Hosted-on,Game World Servers,AWS Database RDS Multi-AZ (Standby)
Hosted-on,Authentication & Login Server,External Data Center (London Primary)
Hosted-on,Authentication & Login Server,External Data Center (Secondary UK)
Hosted-on,Patch & Client CDN,Fastly CDN
Hosted-on,RuneScape Web & News,Cloudflare Business
Dependency,Game World Servers,Authentication & Login Server
Dependency,HiScores Service,Authentication & Login Server
Dependency,HiScores Service,Game World Servers
Dependency,HiScores Service,AWS Database RDS Multi-AZ (Standby)
Dependency,Grand Exchange Service,Authentication & Login Server
Dependency,Grand Exchange Service,Game World Servers
Dependency,Grand Exchange Service,AWS Database RDS Multi-AZ (Standby)
Dependency,Clan & Citadel Service,Authentication & Login Server
Dependency,Clan & Citadel Service,Game World Servers
Dependency,Clan & Citadel Service,AWS Database RDS Multi-AZ (Standby)
Dependency,Public API,Game World Servers
Dependency,Public API,HiScores Service
Dependency,RuneScape Web & News,Authentication & Login Server
Dependency,Game World Servers,Patch & Client CDN
